1 , -2
2 , -2
3 , -2
4 , 3
5 , 3
6 , 3
7 , -3
8 , -3
9 , -3
10 , -1
11 , -1
12 , -1
13 , 2
14 , 2
15 , 2
16 , -3
17 , -3
18 , -3
19 , -2
20 , -2
21 , -2
22 , 3
23 , 3
24 , 3
25 , 2
26 , 2
27 , 2
28 , -2
29 , -2
30 , -2
31 , -1
32 , -1
33 , -1
34 , -3
35 , -3
36 , -3
37 , 2
38 , 2
39 , 2
40 , 2
41 , 2
42 , 2
43 , -3
44 , -3
45 , -3
46 , 3
47 , 3
48 , 3
49 , 0
50 , 0
51 , 0
52 , 0
53 , 0
54 , 0
55 , -2
56 , -2
57 , -2
58 , -2
59 , -2
60 , 2
61 , -2
62 , 2
63 , -2
64 , -2
65 , -2
66 , -2
67 , -2
68 , -2
69 , -2
70 , -2
71 , 0
72 , 0
73 , 0
74 , 0
75 , 3
76 , 3
77 , 3
78 , 3
79 , 3
80 , 3
81 , 3
82 , 3
83 , 3
84 , 3
85 , 3
86 , 3
87 , 3
88 , 3
89 , 0
90 , 0
91 , 0
92 , 0
93 , 0
94 , 0
95 , -3
96 , -3
97 , -3
98 , -3
